customer_id,region,plan,monthly_fee,signup_date,churn_date
1,West,Pro,29.99,2024-02-11,2025-08-17
2,West,Pro,29.99,2024-11-06,
3,East,Enterprise,99.99,2024-08-11,
4,East,Basic,9.99,2024-04-07,
5,East,Enterprise,99.99,2025-09-08,
6,East,Basic,9.99,2024-03-16,
7,East,Pro,29.99,2025-07-27,2025-10-20
8,East,Enterprise,99.99,2025-10-17,
9,West,Pro,29.99,2025-06-17,2025-12-04
10,North,Basic,9.99,2025-02-12,
11,North,Enterprise,99.99,2025-05-20,
12,East,Basic,9.99,2024-11-29,
13,North,Basic,9.99,2025-08-04,2025-12-14
14,South,Enterprise,99.99,2025-04-03,2025-07-23
15,West,Basic,9.99,2024-11-04,
16,North,Enterprise,99.99,2024-12-06,
17,South,Enterprise,99.99,2025-07-14,
18,West,Basic,9.99,2025-09-02,
19,East,Enterprise,99.99,2024-09-04,2025-01-08
20,South,Basic,9.99,2025-09-19,
21,East,Pro,29.99,2024-03-11,2024-08-21
22,South,Basic,9.99,2024-03-23,
23,West,Enterprise,99.99,2025-06-21,2025-09-19
24,South,Enterprise,99.99,2025-08-26,
25,West,Enterprise,99.99,2024-10-08,
26,East,Basic,9.99,2024-11-28,
27,West,Enterprise,99.99,2025-10-07,2025-11-18
28,South,Basic,9.99,2024-10-04,2025-02-23
29,East,Basic,9.99,2024-12-06,
30,North,Basic,9.99,2024-05-29,
31,South,Basic,9.99,2025-08-10,
32,North,Basic,9.99,2024-05-07,
33,North,Pro,29.99,2024-04-03,
34,North,Basic,9.99,2025-09-12,2025-11-04
35,North,Pro,29.99,2024-08-03,
36,North,Enterprise,99.99,2024-01-24,
37,North,Pro,29.99,2024-03-12,2025-02-13
38,East,Pro,29.99,2024-07-03,2025-03-29
39,North,Enterprise,99.99,2024-04-13,
40,West,Basic,9.99,2024-09-23,
41,West,Enterprise,99.99,2024-06-22,
42,South,Basic,9.99,2024-06-11,
43,East,Enterprise,99.99,2024-09-13,2025-05-27
44,South,Basic,9.99,2025-04-27,
45,East,Enterprise,99.99,2024-12-31,
46,East,Basic,9.99,2025-07-28,
47,West,Enterprise,99.99,2024-03-21,2024-06-05
48,East,Basic,9.99,2024-09-02,
49,West,Pro,29.99,2025-09-16,2025-11-30
50,South,Enterprise,99.99,2024-11-13,
51,West,Enterprise,99.99,2024-03-23,2024-11-04
52,East,Basic,9.99,2024-09-02,2025-05-19
53,West,Enterprise,99.99,2025-11-20,
54,West,Basic,9.99,2025-02-15,
55,West,Enterprise,99.99,2024-02-17,2024-05-22
56,East,Enterprise,99.99,2024-06-10,
57,West,Enterprise,99.99,2025-09-10,
58,North,Pro,29.99,2024-11-29,2025-08-25
59,North,Pro,29.99,2024-07-11,
60,North,Enterprise,99.99,2024-05-13,
61,West,Enterprise,99.99,2025-03-03,2025-07-20
62,North,Enterprise,99.99,2024-01-03,
63,North,Basic,9.99,2024-05-01,
64,South,Pro,29.99,2024-10-13,
65,South,Basic,9.99,2025-05-02,
66,West,Enterprise,99.99,2024-03-24,2025-07-30
67,North,Pro,29.99,2024-05-16,
68,East,Basic,9.99,2024-06-07,2024-07-26
69,North,Basic,9.99,2024-07-29,
70,East,Pro,29.99,2025-08-04,
71,North,Enterprise,99.99,2025-09-14,
72,West,Enterprise,99.99,2025-03-21,
73,South,Basic,9.99,2025-01-19,
74,North,Basic,9.99,2024-06-03,2025-06-13
75,East,Enterprise,99.99,2024-04-05,2024-06-10
76,North,Pro,29.99,2024-06-16,2025-05-08
77,East,Pro,29.99,2025-07-15,2025-09-12
78,West,Enterprise,99.99,2024-09-02,
79,East,Basic,9.99,2025-06-19,
80,East,Pro,29.99,2024-12-02,2025-02-25
81,North,Enterprise,99.99,2025-05-07,
82,East,Basic,9.99,2025-05-05,2025-10-09
83,West,Basic,9.99,2024-11-05,2025-11-21
84,South,Basic,9.99,2025-10-03,
85,North,Basic,9.99,2024-03-27,2024-12-08
86,North,Pro,29.99,2024-01-09,2025-08-30
87,East,Pro,29.99,2025-05-15,
88,South,Pro,29.99,2024-03-26,
89,East,Enterprise,99.99,2024-06-19,
90,East,Basic,9.99,2024-03-06,
91,North,Enterprise,99.99,2025-04-07,
92,South,Basic,9.99,2025-05-24,
93,South,Enterprise,99.99,2024-02-13,
94,South,Enterprise,99.99,2024-05-29,2025-10-10
95,West,Pro,29.99,2025-07-13,
96,North,Enterprise,99.99,2025-05-14,2025-09-24
97,West,Enterprise,99.99,2025-05-22,
98,East,Pro,29.99,2025-05-25,
99,South,Enterprise,99.99,2025-09-16,
100,North,Pro,29.99,2024-11-21,
101,North,Enterprise,99.99,2024-05-31,
102,South,Pro,29.99,2025-08-19,2025-12-17
103,West,Basic,9.99,2024-03-27,
104,North,Basic,9.99,2024-08-18,2025-02-17
105,North,Pro,29.99,2024-12-04,
106,South,Enterprise,99.99,2025-04-16,
107,West,Enterprise,99.99,2025-05-29,2025-07-21
108,North,Enterprise,99.99,2025-03-12,
109,South,Pro,29.99,2025-07-02,
110,West,Pro,29.99,2025-02-01,
111,South,Basic,9.99,2025-11-03,
112,South,Pro,29.99,2025-06-03,
113,East,Basic,9.99,2025-05-20,
114,East,Pro,29.99,2025-01-28,
115,North,Basic,9.99,2025-10-18,
